link,quote,rank,rate,star,title
https://movie.douban.com/subject/1780330/,孪生蝙蝠侠大战克隆金刚狼。,57,"8.8,315648人评价",,致命魔术
https://movie.douban.com/subject/1787291/,以戏谑来戏谑戏谑。,58,"8.9,253432人评价",,被嫌弃的松子的一生
https://movie.douban.com/subject/1292370/,浪漫忧郁的成人童话。,59,"8.7,453797人评价",,剪刀手爱德华
https://movie.douban.com/subject/21937445/,电影的现实意义大过电影本身。,60,"9.1,179133人评价",,辩护人
https://movie.douban.com/subject/1303021/,奔跑的孩子是天使。,61,"9.2,124658人评价",,小鞋子
https://movie.douban.com/subject/1294408/,用音乐化解仇恨，让歌声串起美好。,62,"8.9,217109人评价",,音乐之声
https://movie.douban.com/subject/1291818/,人生不能像做菜，把所有的料都准备好了才下锅。,63,"9.0,171221人评价",,饮食男女
https://movie.douban.com/subject/1296141/,比利·怀德满分作品。,64,"9.6,68833人评价",,控方证人
https://movie.douban.com/subject/1291832/,故事的高级讲法。,65,"8.7,306962人评价",,低俗小说
https://movie.douban.com/subject/2149806/,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,66,"8.8,300771人评价",,入殓师
https://movie.douban.com/subject/1293544/,安东尼·霍普金斯的顶级表演。,67,"8.7,325539人评价",,沉默的羔羊
https://movie.douban.com/subject/1485260/,在时间之河里感受溺水之苦。,68,"8.7,368112人评价",,本杰明·巴顿奇事
https://movie.douban.com/subject/1292343/,人的命运被自己瞬间的抉择改变。,69,"8.7,355892人评价",,蝴蝶效应
https://movie.douban.com/subject/1291843/,视觉革命。,70,"8.8,258524人评价",,黑客帝国
https://movie.douban.com/subject/1292849/,美利坚精神输出大片No1.,71,"8.8,217012人评价",,拯救大兵瑞恩
https://movie.douban.com/subject/3072124/,你是我最好的朋友，你是我唯一的朋友 。,72,"8.9,221393人评价",,玛丽和马克思
https://movie.douban.com/subject/1292402/,美丽无罪。,73,"8.7,315095人评价",,西西里的美丽传说
https://movie.douban.com/subject/21937452/,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,74,"9.1,154076人评价",,素媛
https://movie.douban.com/subject/1292656/,人生中应该拥有这样的一段豁然开朗。,75,"8.7,247091人评价",,心灵捕手
https://movie.douban.com/subject/1297359/,人与自然的战争史诗。,76,"8.8,217137人评价",,幽灵公主
https://movie.douban.com/subject/1297630/,深入内心的恐怖，出人意料的结局。,77,"8.8,214982人评价",,第六感
https://movie.douban.com/subject/1291875/,一场华丽的意淫。,78,"8.7,249508人评价",,阳光灿烂的日子
https://movie.douban.com/subject/3742360/,你给我翻译翻译，神马叫做TMD的惊喜。,79,"8.7,583913人评价",,让子弹飞
https://movie.douban.com/subject/1291545/,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,80,"8.7,232134人评价",,大鱼
https://movie.douban.com/subject/1292679/,爱情纠缠，男女一致。,81,"8.7,219739人评价",,春光乍泄
https://movie.douban.com/subject/1316510/,百看不厌。 ,82,"8.7,253781人评价",,射雕英雄传之东成西就
https://movie.douban.com/subject/1418019/,经典之作，历久弥新。,83,"9.2,88120人评价",,大闹天宫
https://movie.douban.com/subject/4917726/,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,84,"8.8,247488人评价",,阳光姐妹淘
https://movie.douban.com/subject/1291999/,寂寞没有期限。,85,"8.6,296672人评价",,重庆森林
https://movie.douban.com/subject/1292208/,被上帝抛弃了的上帝之城。,86,"8.9,147491人评价",,上帝之城
https://movie.douban.com/subject/2334904/,昔日翩翩少年，今日大腹便便。,87,"8.6,327562人评价",,禁闭岛
https://movie.douban.com/subject/1305164/,相逢只要一瞬间，等待却像是一辈子。,88,"8.7,214351人评价",,甜蜜蜜
https://movie.douban.com/subject/1297192/,最不可能的那个人永远是最可能的。,89,"8.6,288713人评价",,致命ID
https://movie.douban.com/subject/4268598/,没有一人完全善，也没有一人完全恶。,90,"8.6,312578人评价",,告白
https://movie.douban.com/subject/1292434/,我们都曾经是一一。,91,"8.9,140458人评价",,一一
https://movie.douban.com/subject/1298070/,约翰尼·德普的独角戏。,92,"8.6,306914人评价",,加勒比海盗
https://movie.douban.com/subject/1296339/,缘分是个连绵词，最美不过一瞬。,93,"8.7,199516人评价",,爱在黎明破晓前
https://movie.douban.com/subject/1652587/,绝对意义上的美轮美奂。,94,"8.6,493534人评价",,阿凡达
https://movie.douban.com/subject/1293318/,幸福是生生不息，却难以触及的远。 ,95,"8.7,188565人评价",,萤火虫之墓
https://movie.douban.com/subject/1291585/,动画片的圣经。,96,"8.8,162185人评价",,风之谷
https://movie.douban.com/subject/11525673/,小清新的故事里注入了大历史的情怀。,97,"8.7,276944人评价",,布达佩斯大饭店
https://movie.douban.com/subject/6985810/,人言可畏。,98,"9.0,108395人评价",,狩猎
https://movie.douban.com/subject/1418834/,每个人心中都有一座断背山。,99,"8.6,293965人评价",,断背山
https://movie.douban.com/subject/1291990/,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,100,"8.7,182837人评价",,爱在日落黄昏时
https://movie.douban.com/subject/1305487/,骗子大师和执著警探的你追我跑故事。 ,101,"8.7,197093人评价",,猫鼠游戏
https://movie.douban.com/subject/1297052/,少女情怀总是诗。,102,"8.8,152285人评价",,侧耳倾听
https://movie.douban.com/subject/1294371/,大时代中的人生，小人物的悲喜。,103,"9.2,77491人评价",,摩登时代
https://movie.douban.com/subject/2353023/,和谐的生活离不开摸头与被摸头。,104,"8.7,262740人评价",,驯龙高手
https://movie.douban.com/subject/1293172/,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,105,"8.8,143100人评价",,末代皇帝
https://movie.douban.com/subject/3443389/,大海啊，不全是水。,106,"9.0,93847人评价",,海洋
https://movie.douban.com/subject/5322596/,穷尽一生，我们要学会的，不过是彼此拥抱。,107,"8.7,156258人评价",,超脱
https://movie.douban.com/subject/1295038/,童话世界的开端。,108,"8.6,223872人评价",,哈利·波特与魔法石
https://movie.douban.com/subject/1292274/,有时候幸福需要等一等。 ,109,"8.6,210408人评价",,幸福终点站
https://movie.douban.com/subject/1295865/,传奇，不是每个人都可以拥有。,110,"8.8,140462人评价",,燃情岁月
https://movie.douban.com/subject/3008247/,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,111,"8.8,123264人评价",,穿条纹睡衣的男孩
https://movie.douban.com/subject/1578507/,像吃了苏打饼一样干脆的电影。,112,"8.7,166347人评价",,谍影重重3
https://movie.douban.com/subject/1293359/,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,113,"8.7,161293人评价",,菊次郎的夏天
https://movie.douban.com/subject/1417598/,真相就在眼前。,114,"8.6,182415人评价",,电锯惊魂
